CLAVE_ACCESO	RUC_EMISOR	RAZON_SOCIAL_EMISOR	FECHA_EMISION	Producto	Código	Cantidad	P. Unitario	Descuento	Total	Impuestos
0505202501171193135000120020030001103620011036218	1711931350001	ANDRADE ARELLANO DARIO LENIN	05/05/2025	(4) CONSULTA DATOS BIOMETRICOS  SISTEMA NACIONAL DE IDENTIFICACIÓN CIUDADANA -  REGISTRO CIVIL (P)	ACJN00316	1.00000	1.20000	0.00	1.20	0.00
0505202501171193135000120020030001103620011036218	1711931350001	ANDRADE ARELLANO DARIO LENIN	05/05/2025	PRESTACIÓN DEL SERVICIO NOTARIAL FUERA DEL DESPACHO (P)	CJ00451	1.00000	70.50000	0.00	70.50	10.58
0605202501179051600800120010051163978732503682714	1790516008001	Chubb Seguros Ecuador S.A.	06/05/2025	HOSPIA HOSPI SEGURO ANUAL	7	1.000000	250.000000	0	250.00	0.00
0605202501179051600800120010051163978732503682714	1790516008001	Chubb Seguros Ecuador S.A.	06/05/2025	SBS 3.5%	3	1.000000	8.750000	0	8.75	0.00
0605202501179051600800120010051163978732503682714	1790516008001	Chubb Seguros Ecuador S.A.	06/05/2025	SSC 0.5%	4	1.000000	1.250000	0	1.25	0.00
0605202501179001691900120021010004606360103001015	1790016919001	CORPORACION FAVORITA C.A.	06/05/2025	ORBIT GOMA MASCAR SAZUCAR HIERBABUENA.	5017382	1.0000	0.6348	0.00	0.63	0.10
0605202501179001691900120021010004606360103001015	1790016919001	CORPORACION FAVORITA C.A.	06/05/2025	MANDARINA IMPORTADA	266426	1.1150	3.3901	0.00	3.78	0.00
0605202501099004945900120010030180233381802333816	0990049459001	BANCO GUAYAQUIL S.A.	06/05/2025	LIQUIDACION COMERCIO	TCLIQCOM	1.00	0.54	0.00	0.54	0.08
0605202501179301632400120011020000492581256460012	1793016324001	CONSORCIO CENTRO FERRETERO	06/05/2025	AZ P BAYARD GRIS 20X60 1.80  MT ITAL	06003049	3.000000	17.430000	0.00	52.29	7.84
0605202501179132849300120070100000222600002226017	1791328493001	CENYCA S.C.C	06/05/2025	PISO EUCALIPTO GRIS 55.2X55.2	B553074501	91.20	8.6607	118.48	671.38	100.71
0605202501179004122000120159120005302651790041218	1790041220001	COMERCIAL KYWI S.A.	06/05/2025	AVANT ADULTOS MINI PEQUENAS 1KG	208657	1.00	5.190000	0.00	5.19	0.00
0605202501179004122000120159120005302651790041218	1790041220001	COMERCIAL KYWI S.A.	06/05/2025	DETERGENTE LIQ MAS FRESCURA INTENSA	457498	1.00	24.913043	4.23	20.68	3.10
0605202501179004122000120159120005302651790041218	1790041220001	COMERCIAL KYWI S.A.	06/05/2025	LUSTRE DE ALAMBRE LAMINADO 3 UND.	839361	1.00	0.713043	0.00	0.71	0.11
0605202501179004122000120159120005302641790041212	1790041220001	COMERCIAL KYWI S.A.	06/05/2025	GUANTE MASTER M EXTRA LARGO ROSA USO MU	434452	1.00	2.078261	0.00	2.08	0.31
0605202501179004122000120159120005302641790041212	1790041220001	COMERCIAL KYWI S.A.	06/05/2025	FUNDA D/BASURA EMIVAL BLANCA 18X24 10UNI	438457	1.00	0.791304	0.00	0.79	0.12
0605202501179004122000120159120005302641790041212	1790041220001	COMERCIAL KYWI S.A.	06/05/2025	DETERGENTE EN POLVO AROMA FLORAL 1KG BIO	456592	1.00	2.408696	0.00	2.41	0.36
0605202501179004122000120159120005302641790041212	1790041220001	COMERCIAL KYWI S.A.	06/05/2025	BALDE ASA METAL 16LT AZUL	777420	1.00	3.991304	0.00	3.99	0.60
0605202501179004122000120159120005302641790041212	1790041220001	COMERCIAL KYWI S.A.	06/05/2025	DETERGENTE 901 C/FRAGANCIA 1KL	900702	1.00	2.017391	0.00	2.02	0.30
0605202501179321815800120010040000013819247571018	1793218158001	RENNOVACONS SAS	06/05/2025	PORCELANATO AGORA NEGRO SATINADO 60X60 RECT METRO	CERAMIC-401	30.6	12.565217	49.98	334.51	50.18
0105202501019006630400120011010001182880070780510	0190066304001	ITALPISOS S.A.	01/05/2025	30*60 RIZZATO CREMA* TRE	113343B8200101	138.2400	5.380	121.23	622.50	93.37
0105202501019006630400120011010001182880070780510	0190066304001	ITALPISOS S.A.	01/05/2025	30*60 RIZZATO GRIS* TRE	113343B8200201	207.3600	5.380	36.81	1078.79	161.81
0605202501179139983800120011010003160983055274319	1791399838001	DIMPOFER CIA LTDA	06/05/2025	YETKA DESAG.ROSC. PREM.INOX. P/FREG. 1.1/2	125712	6.0000	1.550446	0.47	8.83	1.32
0605202501179139983800120011010003160983055274319	1791399838001	DIMPOFER CIA LTDA	06/05/2025	YETKA LLAVE P/LAVAMANOS TEMPORIZADA DE MESA BAJA	125220	1.0000	30.739217	1.54	29.20	4.38
0605202501179139983800120011010003160983055274319	1791399838001	DIMPOFER CIA LTDA	06/05/2025	YETKA LLAVE P/URINARIO TEMPORIZADA	125222	2.0000	27.695043	2.77	52.62	7.89
0605202501179139983800120011010003160983055274319	1791399838001	DIMPOFER CIA LTDA	06/05/2025	YETKA REJILLA LINEAL INOX. LISA/EMPOT.2en1   60cm	125533	2.0000	50.728174	5.07	96.39	14.46
0605202501179139983800120011010003160983055274319	1791399838001	DIMPOFER CIA LTDA	06/05/2025	YETKA REJILLA CROMADA ACERO 50MM CUADRADA ANTIOLOR (BLIS	125580	10.0000	7.038696	3.52	66.87	10.03
0605202501170679243700120011000000032481234567813	1706792437001	SARZOSA UNDA JOSE DOMINGO	06/05/2025	PORC TACCO MOKA LT BRILLANTE 60X120 EXP CJ 1.44	13171	4.32	17.512000	0.00	75.65	11.35
0605202501019031993800120011000000049577777777714	0190319938001	TRANSPORTES TRANSTRUCKS S.A.	06/05/2025	[TRAN0006] QUITO METROS DE CERAMICA FORMATO 30*60 GR:129005-129004-129003-129007-129006	TRAN0006	1433.16	0.510000	0.00	730.91	0.00
0605202501019031993800120011000000049577777777714	0190319938001	TRANSPORTES TRANSTRUCKS S.A.	06/05/2025	[TRAN0006] QUITO METROS DE CERAMICA 30*45	TRAN0006	140.00	0.460000	0.00	64.40	0.00
0605202501019031993800120011000000049577777777714	0190319938001	TRANSPORTES TRANSTRUCKS S.A.	06/05/2025	[TRAN0006] QUITO CAJAS DE DECORADOS	TRAN0006	57.00	0.500000	0.00	28.50	0.00
0705202501171106367500120030100000166581234567813	1711063675001	ORTEGA PAREDES RUDHT ELENA	07/05/2025	PISO PARED VANCOUVER CAFE 30X60 1.62M CORONA	604602761	9.2400	7.0000	8.43	56.25	8.44
0705202501170778757600120010010001022740000349416	1707787576001	JUAN FRANCISCO ARBOLEDA ORELLANA	07/05/2025	(2) MARGINACIONES A LA MATRIZ	521	1	47.00	0	47.00	7.05
0705202501171106367500120030100000166641234567816	1711063675001	ORTEGA PAREDES RUDHT ELENA	07/05/2025	PISO-PARED NOW GRIS GRAFITO 30X60  1.62M CORONA	604932551	6.4800	8.0000	6.76	45.08	6.76
0705202501180172116600120010010000054660705466416	1801721166001	CHERRES CANSECO LUIS ALBERTO	07/05/2025	60X60 PORC BAY BLUE	1200163	2.88	9.44	0.00	27.17	4.08
0705202501180172116600120010010000054660705466416	1801721166001	CHERRES CANSECO LUIS ALBERTO	07/05/2025	30X60 AOSTA	500538	19.8	7.61	0.00	150.65	22.60
0705202501180172116600120010010000054660705466416	1801721166001	CHERRES CANSECO LUIS ALBERTO	07/05/2025	60X60 EMILIA GREY	500443	14.4	9.44	0.00	135.86	20.38
0705202501019006231700120015010001837931133092213	0190062317001	CERAMICA RIALTO S.A.	07/05/2025	30X60 PENTA DECO CJ 1.98 M2	B814506584	110.00	13.4442	0.00	1478.86	221.83
0705202501019006231700120015010001837931133092213	0190062317001	CERAMICA RIALTO S.A.	07/05/2025	60.5X60.5 TANARO CJ 1.83 M2	I614404285	84.00	12.4257	0.00	1043.76	156.56
0705202501019006231700120015010001837931133092213	0190062317001	CERAMICA RIALTO S.A.	07/05/2025	Seguro de Transporte	SEGURO0001	1.00	5.5400	0.00	5.54	0.83
0705202501099133185900120460530000886391357246817	0991331859001	ATIMASA S.A.	07/05/2025	EXTRA	000000000040002204	8.016	2.17000	0.00	17.39	2.61
0705202501179020808700120250010000336620709255416	1790208087001	F.V. - Area Andina S.A.	07/05/2025	LAVATORIO ALPES BLANCO CON PEDESTAL	E224-BL	1.000000	24.690000	5.33	19.35	2.90
0705202501179020808700120250010000336620709255416	1790208087001	F.V. - Area Andina S.A.	07/05/2025	"MANGUERA FLEXIBLE INODORO CONEX/ANGULAR 16"""	E275.02.20.0.1 DH	5.000000	5.250000	7.01	19.23	2.88
0705202501179020808700120250010000336620709255416	1790208087001	F.V. - Area Andina S.A.	07/05/2025	JGO.MONOCOM. MESA P/COC.-ARIZONA-CROMO	E423.01/B1 CR	1.000000	68.720000	23.39	45.32	6.79
0705202501179020808700120250010000336620709255416	1790208087001	F.V. - Area Andina S.A.	07/05/2025	SIFÓN PLÁSTICO EXTENSIBLE UNIVERSAL	E240.02U RA DH BL	10.000000	3.810000	10.17	27.92	4.18
0705202501179020808700120250010000336620709255416	1790208087001	F.V. - Area Andina S.A.	07/05/2025	LAVATORIO ELEA OVAL 43 CM. BLANCO	E239-BL	1.000000	30.580000	8.81	21.76	3.26
0705202501179020808700120250010000336620709255416	1790208087001	F.V. - Area Andina S.A.	07/05/2025	"CENTERSET 4""-S/DESG.SIF. FIORI LEVER-CROMO"	E190/27L CR	2.000000	39.050000	20.86	57.23	8.58
0105202501179193245500120010010020964920209649211	1791932455001	IMPORTADOR FERRETERO TRUJILLO CIA LTDA	01/05/2025	CERM SL JUAN REY BEIGE 27X45	5000000661	33.12	5.74	0.32	189.79	28.47
0705202501171106367500120030100000166571234567818	1711063675001	ORTEGA PAREDES RUDHT ELENA	07/05/2025	PISO/PARED LAJA NEGRA 31X60 1.68M SAN LORENZO	SLAJNAD16CW	0.6000	7.0000	0.55	3.65	0.55
0705202501171106367500120030100000166571234567818	1711063675001	ORTEGA PAREDES RUDHT ELENA	07/05/2025	PISO FALETTI MARRON 42X42 2.M.ITALPISOS	11334569700101	1.3900	7.0000	1.26	8.47	1.27
0705202501171106367500120030100000166571234567818	1711063675001	ORTEGA PAREDES RUDHT ELENA	07/05/2025	PISO BOSTON PERLA 45X45 1.82M.ALFA	CER310BOS45	0.2200	7.0000	0.20	1.34	0.20
0705202501171106367500120030100000166571234567818	1711063675001	ORTEGA PAREDES RUDHT ELENA	07/05/2025	PARED DOMINICA GRIS 25X44 1.65M.GRAIMAN	240616E	1.4500	7.0000	1.32	8.83	1.32
0705202501171106367500120030100000166571234567818	1711063675001	ORTEGA PAREDES RUDHT ELENA	07/05/2025	PISO MACERATO ALMENDRA 18.7X46.6 1.13M. CENYCA	GZD812633E	1.1300	7.0000	1.03	6.88	1.03
0705202501171106367500120030100000166571234567818	1711063675001	ORTEGA PAREDES RUDHT ELENA	07/05/2025	PARED PERSIANA BLANCO 18.7X46.6 1.13M. GRAIMAN	812320E	3.4000	7.0000	3.09	20.71	3.11
0705202501171106367500120030100000166571234567818	1711063675001	ORTEGA PAREDES RUDHT ELENA	07/05/2025	PARED NEXO MULTICOLOR 30X45 1.51M. ALFA	225027700	3.5600	7.0000	3.24	21.68	3.25
0805202501019011188100120670040000595730005957318	0190111881001	Las Fragancias Cia. Ltda.	08/05/2025	PHYTO-MATERIAL PUBLICITARIO-MATERIAL PARA MEDICO-SACH PHYTO7	PHY-594	1.00	0.00	0.00	0.00	0
0805202501019011188100120670040000595730005957318	0190111881001	Las Fragancias Cia. Ltda.	08/05/2025	CHANEL-CHANCE-DAMAS-EAU SPLENDIDE EDP 50 ML SPRAY	CUP-8235	1.00	188.99	0.00	188.99	28.35
0805202501019011188100120670040000595730005957318	0190111881001	Las Fragancias Cia. Ltda.	08/05/2025	SORTEO DIA DE LA MADRE 2025	BOL-1084	1.00	0.00	0.00	0.00	0
0805202501019011188100120670040000595730005957318	0190111881001	Las Fragancias Cia. Ltda.	08/05/2025	CHANEL-MATERIAL PUBLICITARIO-COCO MADEMOISELLE-SAMPLE EDP 1.5 ML SPRAY	CUP-81902	1.00	0.00	0.00	0.00	0
0805202501019011188100120670040000595730005957318	0190111881001	Las Fragancias Cia. Ltda.	08/05/2025	CHANEL-MATERIAL PUBLICITARIO-CORPORATIVO-BOLSA DE PAPEL PEQUEÑA	CU-58188	1.00	0.00	0.00	0.00	0
0805202501019011188100120670040000595730005957318	0190111881001	Las Fragancias Cia. Ltda.	08/05/2025	CHANEL-MATERIAL PUBLICITARIO-CHANCE-SAMPLE EAU TENDRE EDP 1.5ML SP	CUP-82567	1.00	0.00	0.00	0.00	0
0805202501019011188100120670040000595740005957410	0190111881001	Las Fragancias Cia. Ltda.	08/05/2025	MUA-EYESHADOW COLLECTION-15 SHADES EYESHADOW PALETTE-15 EYESHADOW PALETTE BLUSH NUD	MUP-3302	1.00	7.58	0.00	7.58	1.14
0805202501171293542600120020010002600271234567811	1712935426001	CASTRO GARZON ADA MARCELA	08/05/2025	PESCADO ASADO	6409	1.00	8.260870	0.00	8.26	1.24
0805202501171293542600120020010002600271234567811	1712935426001	CASTRO GARZON ADA MARCELA	08/05/2025	ENSALADA	6455	1.00	0.000000	0.00	0.00	0.00
0805202501179125611500120013271160686863030064617	1791256115001	OTECEL S.A.	08/05/2025	PLAN MOVISTAR PLATINUM	20059	1	29.990000	0.00	29.99	4.50
0805202501179125611500120013271160686863030064617	1791256115001	OTECEL S.A.	08/05/2025	PLAN MOVISTAR BRONZE PLUS	20340	1	17.040000	0.00	17.04	2.56
0805202501179125611500120013271160686863030064617	1791256115001	OTECEL S.A.	08/05/2025	PLAN MOVISTAR BRONZE	21765	1	18.390000	0.00	18.39	2.76
0805202501179125611500120013271160686863030064617	1791256115001	OTECEL S.A.	08/05/2025	CONSUMO MEGAS ADICIONALES	11510	629.97	0.006877	0.00	4.33	0.65
0805202501179321815800120010040000014211662901818	1793218158001	RENNOVACONS SAS	08/05/2025	PORCELANATO AGORA NEGRO SATINADO 60X60 RECT METRO	CERAMIC-401	9.0	12.565217	14.7	98.38	14.76
0805202501189175641700120011000000013294220342416	1891756417001	COMPAÑIA DE TRANSPORTE DE CARGA PESADA NATIVOS PILLAREÑOS NAPILLAR S.A.	08/05/2025	TRANSPORTE DE METROS DE CERAMICA 30X60	038	217.8	0.41	0.00	89.30	0.00
0805202501189175641700120011000000013294220342416	1891756417001	COMPAÑIA DE TRANSPORTE DE CARGA PESADA NATIVOS PILLAREÑOS NAPILLAR S.A.	08/05/2025	TRANSPORTE METROS DE CERAMICA 60.5 X 60.5	026	153.72	0.41	0.00	63.03	0.00
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	BONDEX PLUS CERAMICA 25KG	P0213	80.00	8.0700	182.19	463.41	23.17
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	BONDEX STANDARD CERAMICA 25KG	P0212	80.00	5.0100	113.10	287.70	14.39
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	BONDEX PREMIUM PORCE. 25KG	P0614	80.00	13.5900	264.62	822.58	41.13
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	GROUTEX ARTICO FINO 2KG	P1643	40.00	2.2000	21.12	66.88	3.34
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	GROUTEX BLANCO EXTRMO FINO2KG	P1955	40.00	2.2000	21.12	66.88	3.34
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	GROUTEX CARAMELO FINO 2KG	P1650	30.00	2.5900	18.65	59.05	2.95
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	GROUTEX CHOCOLATE FINO 2KG	P1956	30.00	2.5900	18.65	59.05	2.95
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	GROUTEX CREMA FINO 2KG	P1654	60.00	2.2000	31.68	100.32	5.02
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	GROUTEX GRIS CALIDO FINO 2KG	P1959	50.00	3.4500	41.40	131.10	6.56
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	GROUTEX GRIS PIEDRA FINO 2KG	P1960	30.00	3.4500	24.84	78.66	3.93
0805202501099001544900120190100002832507689573811	0990015449001	INTACO ECUADOR S.A.	08/05/2025	SERV LOGISTICO	SRLOGT	1.00	62.3200	0.00	62.32	9.35
0805202501170859169600120010020000510881916313613	1708591696001	QUIROZ AYALA EDGAR FABIAN	08/05/2025	PORCELANATO TERRAZO GRIS 30X60 STD (CJ.1.62)	POR-0078	32.40	8.261000	0.00	267.66	40.15
0905202501176804939000120040030001225702025153612	1768049390001	DIRECCION GENERAL DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION	09/05/2025	Solicitud de Información de Terceros	190	1	2.00	0.00	2.00	0.00
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	METILPREDNISOLONA 125 MG SUCCINATO SOLIDO PARENTERAL	087762	1	10.33	0	10.33	0
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	C LLAVE 3 VIAS POLYMED REF 1021	053846	1	1.76	0	1.76	.26
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	C INTRAFIX SAFESET EUROFIX REF 4063005	055545	1	2.94	0	2.94	.44
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	ALLEGRA 180 MG TABLETA RECUBIERTA	083451	1	1.81	0	1.81	0
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	CREATININA	360016	1	13.2	0	13.2	0
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	BIOMETRIA HEMATICA	340077	1	11.6	0	11.6	0
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	C INTROCAN SAFETY 3 20G	2002202	1	4.48	0	4.48	.67
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	CLORURO DE SODIO 0.9% 100ML LIQUIDO PARENTERAL BRB1302	160089	2	.98	0	1.96	0
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	DIFENHIDRAMINA LIQUIDO PARENTERAL 50 MG ML	081167	1	6.6	0	6.6	0
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	ATENCION EN EMERGENCIA 1	150049	1	71.4	0	71.4	0
0105202501179317813800120011320001066450010664517	1793178138001	HOSPITAL-METROPOLITANO S.A.S.	01/05/2025	C TEGADERM I.V ADULTO 6.5CMX7CM 1683	054947	1	4.42	0	4.42	.66
0905202501179237977600120040010005612480056124813	1792379776001	MERAMEXAIR S.A.	09/05/2025	AguaS/Gas1200ml	33000831	1	3.91	0.00	3.91	0.59
0905202501179237977600120040010005612480056124813	1792379776001	MERAMEXAIR S.A.	09/05/2025	Manzana Roja	230207	1	1.61	0.00	1.61	0.24
0905202501176804939000120040030001225692025153617	1768049390001	DIRECCION GENERAL DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION	09/05/2025	Certificado de Datos Registrales/Nacimiento/Matrimonio/Defunción/Unión de Hecho	180	1	3.00	0.00	3.00	0.00
0905202501099085832200124205000000569140990858312	0990858322001	DISTRIBUIDORA FARMACEUTICA ECUATORIANA DIFARE S.A	09/05/2025	ESPARAD MICROPORE PIEL 24MMx5M	1778	1.0000	4.3	1.29	3.01	0.45
0905202501099085832200124205000000569140990858312	0990858322001	DISTRIBUIDORA FARMACEUTICA ECUATORIANA DIFARE S.A	09/05/2025	VOLTAREN EMULGEL TUBx60GR	16425	1.0000	13.34	2.67	10.67	0.00
0905202501099085832200124205000000569140990858312	0990858322001	DISTRIBUIDORA FARMACEUTICA ECUATORIANA DIFARE S.A	09/05/2025	GASA CUREBAND PREM 10x10CMx24	92890	1.0000	6.78	1.36	5.42	0.81
0905202501099085832200124205000000569140990858312	0990858322001	DISTRIBUIDORA FARMACEUTICA ECUATORIANA DIFARE S.A	09/05/2025	DYNAPAR SR100 COM-REC-LIB-SOSX10	107194	1.0000	7.04	1.41	5.63	0.00
0905202501099085832200124205000000569140990858312	0990858322001	DISTRIBUIDORA FARMACEUTICA ECUATORIANA DIFARE S.A	09/05/2025	AGUA OXIGENADA 10 VOLx1000ML LATU	113675	1.0000	2.31	0.46	1.85	0.00
0905202501099133185900120460520001278531357246816	0991331859001	ATIMASA S.A.	09/05/2025	EXTRA	000000000040002204	4.008	2.17000	0.00	8.70	1.30
0905202501099004945900120010030180592731805927311	0990049459001	BANCO GUAYAQUIL S.A.	09/05/2025	LIQUIDACION COMERCIO	TCLIQCOM	1.00	9.70	0.00	9.70	1.46
0905202501179016065300120191010000190152040966814	1790160653001	EDESA S.A.	09/05/2025	JGO WC EVOLUTION DUAL FLUSH AZUL GALAXIE	JS0022930171CE	1.00	79.33000	25.78	53.55	8.03
0905202501179020808700120250010000337170912231414	1790208087001	F.V. - Area Andina S.A.	09/05/2025	COMBO MAX BLANCO	E115.223.2230-BL	2.000000	66.450000	42.90	89.99	13.49
0905202501179020808700120250010000337170912231414	1790208087001	F.V. - Area Andina S.A.	09/05/2025	LLAVE PARA LAVABO TREVISO CR	E220.01/Y5 CR	9.000000	15.060000	36.20	99.33	14.90
0905202501179020808700120250010000337170912231414	1790208087001	F.V. - Area Andina S.A.	09/05/2025	INODORO ONE PIECE MONACO BLANCO	E179-BL	2.000000	186.260000	197.32	175.19	26.27
0905202501180172116600120010010000054870905487314	1801721166001	CHERRES CANSECO LUIS ALBERTO	09/05/2025	60X60 PORC BAY BLUE	1200163	5.76	9.44	0.00	54.34	8.15
0905202501170859169600120010020000511111016313616	1708591696001	QUIROZ AYALA EDGAR FABIAN	09/05/2025	PORCELANATO ATENEA HUESO BRILL 60X60 STD	POR-0063	2.88	10.000000	0.00	28.80	4.32
0905202501170859169600120010020000511131016313617	1708591696001	QUIROZ AYALA EDGAR FABIAN	09/05/2025	PORCELANATO ATENEA HUESO BRILL 60X60 STD	POR-0063	2.88	9.565000	0.00	27.55	4.13
0105202501171791390700120010200001529480000000113	1717913907001	MARIA AUGUSTA PAZMINO TAPIA	01/05/2025	REDONDO T8	3310	10.000000	2.826100	0.00	28.26	4.24
0105202501171791390700120010200001529480000000113	1717913907001	MARIA AUGUSTA PAZMINO TAPIA	01/05/2025	VIZZIO 69GR PROMO	3056	1.000000	0.869600	0.00	0.87	0.13
1005202501179320113700120010010004456820000099919	1793201137001	MOSCOSO URIARTE CIA.LTDA.	10/05/2025	SUPER PREMIUM	0185	5.571	3.121739	0	17.39	2.61
1205202501179074611900120220130001309151790746111	1790746119001	COMOHOGAR S.A	12/05/2025	COCINA GAS 60CM 4Q GRAFITO C/ENCENDIDO ELECTRICO Marca: MABE Modelo: EM6030SG0 GARANTIA: 12 meses	0561.0726	1	308.92	12.35	296.57	44.49
1205202501179320113700120010010004465940000099918	1793201137001	MOSCOSO URIARTE CIA.LTDA.	12/05/2025	EXTRA	0101	4.055	2.144348	0	8.70	1.30
1205202501179074611900120220130001309141790746114	1790746119001	COMOHOGAR S.A	12/05/2025	COCINA GAS 60CM 4Q GRAFITO C/ENCENDIDO ELECTRICO Marca: MABE Modelo: EM6020SG0 GARANTIA: 12 meses	0561.0725	1	287.82	11.52	276.3	41.45
1205202501179321977500120010010000190332024120118	1793219775001	CONSORCIO COBRANZA MQ	12/05/2025	COMISIÓN POR GESTIÓN DE COBRANZA	4513	1.00	13.50	0.00	13.50	2.03
1205202501179198775600120050010000080790099592717	1791987756001	CERAMIC CENTER CIA LTDA	12/05/2025	2060 SALICE GIALLO	06853	48.60	7.66	0.38	371.90	55.79
1205202501099337341200120030020000009250000082014	0993373412001	SUPER GRES MARKETING S.A.	12/05/2025	PORCELANATO	5.50052.000111	10.00	26.295600	0.00	262.96	39.44
1305202501170859169600120010020000511492416313615	1708591696001	QUIROZ AYALA EDGAR FABIAN	13/05/2025	PORCELANATO CEMENTO GRIS CLARO 60X60 STD (CJ.1.80)	POR-0268	36.00	8.696000	0.00	313.06	46.96
1305202501179245893500120050100007255991234567819	1792458935001	ADECAMOR CIA LTDA.	13/05/2025	EXTRA	0101	8.110000	2.144348	0.00	17.39	2.61
1305202501019031993800120011000000049837777777716	0190319938001	TRANSPORTES TRANSTRUCKS S.A.	13/05/2025	[TRAN0006] QUITO METROS DE CERAMCA 30*60 GR:129252-129253-129254- NE:4536	TRAN0006	345.60	0.510000	0.00	176.26	0.00
1305202501019031993800120011000000049837777777716	0190319938001	TRANSPORTES TRANSTRUCKS S.A.	13/05/2025	[TRAN0006] QUITO METROS DE CERAMICA 20*60 Y 30*30 |	TRAN0006	638.57	0.460000	0.00	293.74	0.00
0105202501171334733200120010040000351610003516110	1713347332001	CHICO TUQUERES JOSE ALFREDO	01/05/2025	FAM SICILIANA PROMO	0304034	2	8.25652	0	16.51	2.48
0105202501171334733200120010040000351610003516110	1713347332001	CHICO TUQUERES JOSE ALFREDO	01/05/2025	FAM SU ELECCION PROMO	0304070	1	8.25652	0	8.26	1.24
0105202501171334733200120010040000351610003516110	1713347332001	CHICO TUQUERES JOSE ALFREDO	01/05/2025	FAM HAWAIANA PROMO	0304074	1	8.25652	0	8.26	1.24
1305202501170859169600120010020000511622416313616	1708591696001	QUIROZ AYALA EDGAR FABIAN	13/05/2025	PORCELANATO TAVOL GRIGIO 30X120 EXP	POR-0377	21.48	13.478000	0.00	289.51	43.43
1305202501019012227100120145030000270367846333311	0190122271001	GRAIMAN CIA. LTDA.	13/05/2025	MOS. GLASS GRAY 30 X 30 (11 UNID)	9004061	11.000000	5.930000	0.00	65.23	9.78
1305202501179020808700120250010000337601308055818	1790208087001	F.V. - Area Andina S.A.	13/05/2025	"CONJ. LLAVE ANG. C/MANGUERAS FLEXIBLES DE 12"" P/LAVABO CR"	E262.03 DH CR	10.000000	12.230000	32.66	89.63	13.44
1305202501179020808700120250010000337601308055818	1790208087001	F.V. - Area Andina S.A.	13/05/2025	INODORO MILAN ESTANDAR BLANCO C/BOTON	E116-S-BL	1.000000	65.480000	14.15	51.32	7.69
1305202501179020808700120250010000337601308055818	1790208087001	F.V. - Area Andina S.A.	13/05/2025	"CONJUNTO DESAGÜE CON REJILLA 1 1/4"" Y SIFÓN EXTENDIBLE"	E2460.02U RA DH BLC	5.000000	6.540000	8.73	23.96	3.59
1305202501179020808700120250010000337601308055818	1790208087001	F.V. - Area Andina S.A.	13/05/2025	DOBLE SIFÓN PLÁSTICO EXTENSIBLE UNIVERSAL	E245.02W RA DH BL	2.000000	8.610000	4.59	12.62	1.89
1305202501179020808700120250010000337601308055818	1790208087001	F.V. - Area Andina S.A.	13/05/2025	"CONJ. LLAVE ANG. C/MANGUERAS FLEXIBLES DE 12"" P/INODORO CR"	E266.02 DH CR	10.000000	12.230000	32.66	89.63	13.44
1405202501176804939000120010030029609082025101715	1768049390001	DIRECCION GENERAL DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION	14/05/2025	Copia de Acta Registral/Nacimiento/Matrimonio/Defunción/Unión de Hecho/Registro de Género	181	1	6.00	0.00	6.00	0.00
